2016-04-16 14:43:37,828 {u'conditions': [{u'train': u'12953'}, {u'class': u'3A'}, {u'quota': u'RLGN'}], u'waiting_list': 2, u'hours_before': 0}
2016-04-16 14:43:37,861 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 94, u'hours_before': 0}
2016-04-16 14:43:37,895 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 49, u'hours_before': 0}
2016-04-16 14:43:37,930 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 35, u'hours_before': 0}
2016-04-16 14:43:37,964 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 45, u'hours_before': 0}
2016-04-16 14:43:38,000 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 62, u'hours_before': 0}
2016-04-16 14:43:38,035 {u'conditions': [{u'train': u'12786'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 58, u'hours_before': 0}
2016-04-16 14:43:38,063 {u'conditions': [{u'train': u'12129'}, {u'class': u'2A'}, {u'quota': u'GNWL'}], u'waiting_list': 11, u'hours_before': 0}
2016-04-16 14:43:38,098 {u'conditions': [{u'train': u'12129'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 16, u'hours_before': 0}
2016-04-16 14:43:38,128 {u'conditions': [{u'train': u'13352'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 1, u'hours_before': 0}
2016-04-16 14:43:38,161 {u'conditions': [{u'train': u'12915'}, {u'class': u'SL'}, {u'quota': u'GNWL'}], u'waiting_list': 65, u'hours_before': 0}
2016-04-16 14:43:38,197 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 22, u'hours_before': 0}
2016-04-16 14:43:38,232 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 29, u'hours_before': 0}
2016-04-16 14:43:38,266 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 27, u'hours_before': 0}
2016-04-16 14:43:38,298 {u'conditions': [{u'train': u'12955'}, {u'class': u'SL'}, {u'quota': u'PQWL'}], u'waiting_list': 33, u'hours_before': 0}
2016-04-16 14:43:38,334 {u'conditions': [{u'train': u'13287'}, {u'class': u'SL'}, {u'quota': u'RLGN'}], u'waiting_list': 8, u'hours_before': 0}
2016-04-16 14:43:38,374 {u'conditions': [{u'train': u'12560'}, {u'class': u'3A'}, {u'quota': u'GNWL'}], u'waiting_list': 44, u'hours_before': 0}
2016-04-16 14:43:38,411 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 31, u'hours_before': 0}
2016-04-16 14:43:38,453 {u'conditions': [{u'train': u'12684'}, {u'class': u'SL'}, {u'quota': u'CK'}], u'waiting_list': 21, u'hours_before': 0}
